nf,7416,OR-11,FALSE,'instance-of',sk179,process,sk179,,<--,862, BFO-mem-1, mpt,6936,,,,,,,
nf,7415,OR-11,FALSE,identical,sk180,sk179,,,<--,264, BFO-nis-1, mpt,6936,,,,,,,
nf,7414,OR-11,TRUE,'has-continuant-part',a,a,sk162,,<--,187, BFO-eld-1, mpp,7411,,,,,,,
nf,7413,OR-11,FALSE,'instance-of',a,occurrent,sk162,,<--,798, BFO-wrf-1, mpt,5981,,,,,,,
nf,7412,OR-11,FALSE,'proper-continuant-part-of',a,a,sk162,,<--,197, BFO-sls-1, mpt,7411,,,,,,,
nf,7411,OR-11,TRUE,'continuant-part-of',a,a,sk162,,<--,189, BFO-mcd-1, mpp,5983,,,,,,,
nf,7410,OR-11,FALSE,'instance-of',a,'generically-dependent-continuant',sk162,,<--,859, BFO-cig-1, mpt,5983,,,,,,,
nf,7409,OR-11,FALSE,'instance-of',a,'specifically-dependent-continuant',sk162,,<--,857, BFO-cig-1, mpt,5983,,,,,,,
nf,7408,OR-11,TRUE,'exists-at',sk165,sk162,,,<--,270, BFO-bee-1, mpp,7407,5536,44,,,,,
nf,7407,OR-11,TRUE,'instance-of',sk165,'spatial-region',sk162,,<--,486, BFO-lzw-1, mpp,7380,,,,,,,
nf,7406,OR-11,TRUE,'exists-at',sk2,sk162,,,<--,270, BFO-bee-1, mpp,7405,5536,87,,,,,
